代码,名称,日期,涨停时间,当日涨幅,次日涨跌幅,次日开盘,次日最高,次日最低,次日收盘,买入价,实际收益
600070,600070,2018-11-16,14:30,9.96,-5.0,7.56,7.57,6.93,7.07,7.51,-5.0
600070,600070,2018-11-27,14:30,9.94,2.44,6.88,7.43,6.65,7.14,6.97,2.44
600070,600070,2019-02-25,14:30,9.97,10.0,8.15,8.25,8.03,8.25,7.5,10.0
600070,600070,2019-02-26,14:30,10.0,-5.0,7.9,8.17,7.64,7.79,8.25,-5.0
600070,600070,2019-04-30,14:30,10.04,-5.0,9.8,10.38,9.23,9.71,9.86,-5.0
600070,600070,2019-10-28,14:30,10.04,0.97,9.6,10.25,9.32,9.41,9.32,0.97
600070,600070,2019-11-04,14:30,10.04,-5.0,10.8,10.84,10.32,10.74,10.96,-5.0
600070,600070,2020-01-07,14:30,10.05,5.5,11.79,12.41,11.42,11.9,11.28,5.5
600070,600070,2020-06-23,14:30,9.99,-1.77,12.65,13.08,11.48,11.68,11.89,-1.77
600070,600070,2020-07-07,14:30,10.02,0.37,13.9,14.15,12.85,13.55,13.5,0.37
600070,600070,2021-05-06,14:30,9.95,-2.09,7.13,7.16,6.95,7.03,7.18,-2.09
600070,600070,2021-06-11,14:30,9.99,10.06,8.97,8.97,8.97,8.97,8.15,10.06
600070,600070,2021-06-15,14:30,10.06,10.03,9.86,9.87,9.51,9.87,8.97,10.03
600070,600070,2021-06-16,14:30,10.03,-2.74,10.8,10.8,9.58,9.6,9.87,-2.74
600070,600070,2021-08-18,14:30,9.99,-5.0,8.6,8.75,8.02,8.06,8.59,-5.0
600070,600070,2022-02-15,14:30,9.95,1.19,6.91,7.03,6.61,6.82,6.74,1.19
600070,600070,2022-02-21,14:30,9.94,-0.56,7.0,7.42,6.96,7.15,7.19,-0.56
600070,600070,2022-03-21,14:30,10.08,-2.43,7.2,7.2,6.69,6.82,6.99,-2.43
600070,600070,2022-08-11,14:30,10.02,-0.53,5.71,5.76,5.5,5.68,5.71,-0.53
600070,600070,2022-11-04,14:30,10.07,2.91,5.0,5.02,4.79,4.95,4.81,2.91
600070,600070,2022-11-10,14:30,9.92,-0.58,5.34,5.46,5.11,5.18,5.21,-0.58
600070,600070,2022-12-12,14:30,9.96,0.72,5.58,5.74,5.37,5.56,5.52,0.72
600070,600070,2023-02-02,14:30,10.09,-1.74,6.2,6.32,6.1,6.22,6.33,-1.74
600070,600070,2023-04-12,14:30,10.02,0.33,6.23,6.3,6.03,6.17,6.15,0.33
603917,603917,2018-04-13,14:30,10.0,-5.0,27.0,27.0,25.24,25.38,28.04,-5.0
603917,603917,2018-09-06,14:30,9.99,1.68,14.34,15.47,14.2,14.55,14.31,1.68
603917,603917,2018-09-20,14:30,10.03,10.01,15.0,16.05,14.7,16.05,14.59,10.01
603917,603917,2018-09-21,14:30,10.01,10.03,17.6,17.66,16.68,17.66,16.05,10.03
603917,603917,2018-09-25,14:30,10.03,5.04,18.6,19.43,17.1,18.55,17.66,5.04
603917,603917,2020-04-08,14:30,10.0,-0.47,10.8,11.06,10.54,10.62,10.67,-0.47
603917,603917,2020-06-23,14:30,10.02,-5.0,14.6,15.0,12.84,12.84,14.27,-5.0
603917,603917,2021-07-08,14:30,9.99,-5.0,10.07,10.8,9.79,10.74,10.35,-5.0
603917,603917,2021-09-23,14:30,9.98,-2.29,11.94,11.94,10.85,11.09,11.35,-2.29
603917,603917,2021-11-03,14:30,10.03,7.18,12.79,13.64,12.3,13.29,12.4,7.18
603917,603917,2021-11-08,14:30,10.01,9.97,15.21,16.43,15.21,16.43,14.94,9.97
603917,603917,2021-11-09,14:30,9.97,-5.0,15.58,18.06,15.5,17.36,16.43,-5.0
603917,603917,2021-11-12,14:30,10.01,4.39,19.21,20.55,19.18,19.5,18.68,4.39
603917,603917,2021-11-16,14:30,10.0,10.02,21.49,23.6,20.91,23.6,21.45,10.02
603917,603917,2021-11-17,14:30,10.02,-5.0,23.0,23.35,21.66,22.63,23.6,-5.0
603917,603917,2021-11-30,14:30,10.02,4.48,26.79,27.97,25.89,26.84,25.69,4.48
