代码,名称,日期,涨停时间,当日涨幅,次日涨跌幅,收盘价,成交量比
603826,Stock-603826,2026-02-25,14:30,10.0,0,20.57,2.19
688102,Stock-688102,2026-02-25,未涨停,4.89,0,39.69,1.89
603869,Stock-603869,2026-02-25,未涨停,2.62,0,10.19,2.7
601975,Stock-601975,2026-02-25,未涨停,4.63,0,4.07,2.63
300234,Stock-300234,2026-02-25,未涨停,3.37,0,6.45,2.23
880486,Stock-880486,2026-02-25,未涨停,4.48,0,1109.77,1.77
603285,Stock-603285,2026-02-25,未涨停,8.16,0,38.57,2.37
601588,Stock-601588,2026-02-25,未涨停,2.13,0,1.92,1.72
000899,Stock-000899,2026-02-25,14:30,10.03,0,12.07,1.7
881417,Stock-881417,2026-02-25,未涨停,2.52,0,815.93,1.54
002930,Stock-002930,2026-02-25,未涨停,4.65,0,13.5,2.27
003026,Stock-003026,2026-02-25,未涨停,2.49,0,35.0,1.81
881062,Stock-881062,2026-02-25,未涨停,5.48,0,1449.22,1.66
600206,Stock-600206,2026-02-25,14:30,10.0,0,24.96,3.72
600743,Stock-600743,2026-02-25,未涨停,3.03,0,2.04,2.07
300910,Stock-300910,2026-02-25,未涨停,2.77,0,59.28,1.63
300843,Stock-300843,2026-02-25,未涨停,2.5,0,59.14,1.63
603124,Stock-603124,2026-02-25,未涨停,5.26,0,115.78,5.38
881022,Stock-881022,2026-02-25,未涨停,5.16,0,1084.23,1.5
